id,time,value
fitted values,2021-12-19,-0.0016051921254305358
fitted values,2021-12-26,-0.0021611984499527036
fitted values,2022-01-02,6.120753892762832e-4
fitted values,2022-01-09,0.0014314217504021527
fitted values,2022-01-16,3.617265985575912e-4
fitted values,2022-01-23,0.005511271236447343
fitted values,2022-01-30,0.005719302118220537
fitted values,2022-02-06,0.004656385049153604
fitted values,2022-02-13,0.005892704894792487
fitted values,2022-02-20,0.005946665941413182
fitted values,2022-02-27,0.0014172756077813573
fitted values,2022-03-06,0.007074131962961895
fitted values,2022-03-13,0.013975348789432067
fitted values,2022-03-20,0.004964295345489181
fitted values,2022-03-27,0.006336115514746013
fitted values,2022-04-03,0.0059989861470004235
fitted values,2022-04-10,-0.0021371759026306923
fitted values,2022-04-17,0.0011919621631753356
fitted values,2022-04-24,0.007484643016288712
fitted values,2022-05-01,0.0016442533047092193
fitted values,2022-05-08,0.006777052961220184
fitted values,2022-05-15,0.006752571726997456
fitted values,2022-05-22,0.004431129413416264
fitted values,2022-05-29,0.004480227825710451
fitted values,2022-06-05,0.009382727577326722
fitted values,2022-06-12,0.011347079451734236
fitted values,2022-06-19,0.008886992187669442
fitted values,2022-06-26,-0.0019895870346045325
fitted values,2022-07-03,-0.0038327006457207847
fitted values,2022-07-10,-0.0016196532180978458
fitted values,2022-07-17,-0.0010517710627588415
fitted values,2022-07-24,0.0011484408116165376
fitted values,2022-07-31,-0.0035691842970779087
fitted values,2022-08-07,-0.010907456330125118
fitted values,2022-08-14,-0.003246326336670327
fitted values,2022-08-21,-0.001214832478481755
fitted values,2022-08-28,-0.0014622891510093
fitted values,2022-09-04,-0.0021201734832158505
fitted values,2022-09-11,-0.00439484809992912
fitted values,2022-09-18,-0.004889536166756889
fitted values,2022-09-25,5.909362060623653e-4
fitted values,2022-10-02,0.0012009919109711095
fitted values,2022-10-09,0.005700404652038197
fitted values,2022-10-16,0.008336586228424744
fitted values,2022-10-23,-5.677749309856723e-5
fitted values,2022-10-30,0.0012404631880852711
fitted values,2022-11-06,0.007751154996176755
fitted values,2022-11-13,3.424128107245444e-4
fitted values,2022-11-20,-0.004362234209964774
fitted values,2022-11-27,-0.004189663178141909
fitted values,2022-12-04,-0.007866217100601536
fitted values,2022-12-11,-0.010602780080000661
fitted values,2022-12-18,-0.010227709772156425
fitted values,2022-12-25,-0.013255894719663024
